982,908
1158,366, 1140,906
522,610, 1495,407, 1580,284
1158,415, 1195,910
496,738, 1461,540, 1576,508
540,559, 814,908
707,805, 1455,392, 1576,644
1463,581, 1335,912
1050,907
1038,218, 1430,565, 1571,739
596,196, 1425,743, 1290,910
1158,205, 784,476, 1042,909
599,315, 496,669, 1123,909
961,913
987,913
1383,451, 980,725, 797,915
345,182
584,712, 1111,425, 350,457
948,907
1573,164
1028,909
761,162, 1579,380
1095,246, 1576,246
right,
right,
up,
up,
up,
up,
left,
up,
left,
up,
up,
left,
up,
up,
left,
up,
up,
up,
left,
up,
up,
left,
853,352, left,
